"","gender","age","country","country_en","country_mi","ethniceng","ethnicmri","ethnicwsm","ethniccok","ethnicton","ethnicniu","ethnicchn","ethnicind","ethnicother","ethnicother_en","ethnicother_mi","languages","handed","height","rightfoot","armspan","wrist","neck","popliteal","indexfinger","ringfinger","hairlength","travel","timetravel","bagweightraw","bagweight","bagcarry","favlearning","favlearningmo","memory","reaction","sport","sport_en","techtv","techmp3","techinternet","techmobinternet","techfacebook","techtwitter","techbebo","techmyspace","techskype","techconsole","technone","cellmonths","onlinemusic","onlinevideo","onlinegame","onlinefriend","onlineschool","onlineother","onlinenone","bedtime","waketime","favtvshow","favtvshow_en","importwarm","importpollution","importrecycling","importwater","importlifestyle","importenergy","importgovern","importcomputer","region","year"
"2809","female","11","newzealand","NZL","NZL","yes","no","no","no","no","no","no","no","","","","NA","right","NA","23","166","15","31","42","80","70","80","walk","7","NA","NA","two","english","mathstats","36","0.437","Netball","Netball","no","yes","yes","yes","no","no","no","no","yes","yes","no","5","yes","yes","yes","no","yes","no","no","9:30:00","7:30:00","Glee","Glee","-37","5","-17","-62","27","-45","-6","-100",14,7
"16579","female","13","newzealand","NZL","NZL","yes","no","no","no","no","no","no","no","","","","1","right","159","23","160","15","30","43","75","70","35","walk","5","NA","NA","two","mathstats","science","38","2.281","Dancing","Dancing","no","no","yes","no","no","no","no","no","no","no","no","3","no","no","no","no","no","no","yes","9:00:00","7:00:00","Amazing race","The Amazing Race","-1","100","53","100","100","83","31","-93",14,9
"13974","female","11","newzealand","NZL","NZL","no","no","no","no","no","no","no","no","","","","1","right","164","27","178","NA","NA","NA","NA","NA","33","walk","5","100","NA","diagonal","mathstats","english","63","2.828","Dancing","Dancing","no","yes","no","no","no","no","no","no","no","no","no","6","no","no","no","no","no","yes","no","8:30:00","7:45:00","Sorteiand st","NA","NA","NA","-84","-36","12","NA","NA","-31",14,7
"23364","female","9","newzealand","NZL","NZL","no","no","no","no","no","no","no","yes","","","","2","right","135","20","NA","13","27","35","75","80","480","walk","3","NA","NA","two","arts","mathstats","56","0.5","Dancing","Dancing","no","no","yes","no","no","no","no","no","yes","no","no","NA","no","no","yes","no","no","no","no","8:30:00","6:45:00","What now","What Now?","46","38","63","9","100","-100","-100","6",3,5
"14120","male","10","england","GBR","GBR","no","no","no","no","no","no","no","no","other european","","NA","1","right","144","23","139","14","29","37","75","87","65","motor","15","NA","NA","diagonal","arts","health","53","0.612","Soccer","Soccer","no","yes","yes","no","no","no","no","no","yes","yes","no","NA","no","yes","yes","no","yes","no","no","7:45:00","6:45:00","English premier league soccer","NA","-47","100","100","49","100","100","1","1",10,6
"20868","female","13","newzealand","NZL","NZL","no","yes","no","no","no","no","no","no","","","","2","right","169","23","NA","16","29","NA","96","100","16","bus","20","2000","2000","two","science","NA","46","1.077","Netball","Netball","no","yes","yes","yes","yes","no","yes","no","yes","yes","no","2","yes","yes","no","yes","no","no","no","8:30:00","6:00:00","Shortland street","Shortland Street","12","100","100","100","100","43","22","100",14,9
"20346","female","15","newzealand","NZL","NZL","no","yes","no","no","no","no","no","no","","","","2","right","159","21","128","16","33","NA","40","50","610","motor","15","7000","7000","one","arts","social","46","0.374","Dancing","Dancing","yes","yes","yes","yes","yes","no","no","no","yes","yes","no","2","yes","yes","yes","yes","no","yes","no","11:00:00","8:15:00","Family guy","Family Guy","34","35","19","-18","36","4","21","96",14,11
"13216","female","12","newzealand","NZL","NZL","yes","yes","no","no","no","no","no","no","","","","1","right","158","25","NA","NA","NA","45","60","70","450","bus","25","6000","6000","two","english","mathstats","51","0.452","Other","Other","no","no","yes","no","yes","no","no","no","no","yes","no","1","no","no","no","no","yes","yes","no","8:30:00","6:30:00","Shortland street","Shortland Street","-96","-96","-75","-71","63","-95","-94","-83",7,8
"9526","female","11","england","GBR","GBR","yes","no","no","no","no","no","no","no","","","","1","right","143","29","135","18","27","NA","NA","NA","30","walk","6","3000","3000","two","arts","technology","47","0.547","Other","Other","no","yes","yes","no","yes","yes","no","yes","yes","yes","no","NA","yes","yes","yes","yes","no","no","no","9:00:00","8:00:00","Glee","Glee","41","43","57","-62","0","56","-57","-5",10,6
"10678","male","14","Taihape","NZL","NZL","no","yes","no","no","no","no","no","no","","","","2","right","163","27","172","18","35","45","75","85","9","bus","42","20","NA","two","health","technology","37","0.363","Cycling","Cycling","yes","yes","yes","yes","yes","no","yes","no","yes","yes","no","5","yes","yes","yes","yes","no","no","no","9:30:00","7:00:00","Hunting aotearoa","Hunting Aotearoa","1","1","-74","-9","53","1","-87","100",6,10
