"","gender","age","country","country_en","country_mi","ethniceng","ethnicmri","ethnicwsm","ethniccok","ethnicton","ethnicniu","ethnicchn","ethnicind","ethnicother","ethnicother_en","ethnicother_mi","languages","handed","height","rightfoot","armspan","wrist","neck","popliteal","indexfinger","ringfinger","hairlength","travel","timetravel","bagweightraw","bagweight","bagcarry","favlearning","favlearningmo","memory","reaction","sport","sport_en","techtv","techmp3","techinternet","techmobinternet","techfacebook","techtwitter","techbebo","techmyspace","techskype","techconsole","technone","cellmonths","onlinemusic","onlinevideo","onlinegame","onlinefriend","onlineschool","onlineother","onlinenone","bedtime","waketime","favtvshow","favtvshow_en","importwarm","importpollution","importrecycling","importwater","importlifestyle","importenergy","importgovern","importcomputer","region","year"
"14889","female","14","newzealand","NZL","NZL","yes","no","no","no","no","no","no","no","","","","2","right","150","21","147","14","34","42","75","80","360","motor","10","2700","2700","two","science","social","32","2.432","Soccer","Soccer","yes","yes","yes","no","yes","no","no","no","no","yes","no","12","yes","yes","no","yes","yes","no","no","11:45:00","7:00:00","The mia show","NA","-100","22","15","-50","13","-89","100","-63",3,10
"11914","female","13","newzealand","NZL","NZL","yes","no","yes","no","no","no","no","no","","","","2","right","NA","25","NA","16","35","44","NA","NA","15","motor","7","0","0","two","arts","mathstats","41","NA","Netball","Netball","no","no","yes","no","yes","no","yes","no","no","yes","no","1","yes","yes","no","yes","no","no","no","12:30:00","7:30:00","Cougar town","Cougar Town","-10","-11","-12","-11","20","-29","43","81",3,10
"18313","male","NA","newzealand","NZL","NZL","no","no","no","no","no","no","yes","no","","","","2","right","165","24","160","15","32","44","98","95","13","bike","10","4000","4000","two","technology","mathstats","66","0.391","Walking or hiking","Walking or hiking","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","no","NA","yes","yes","yes","yes","yes","no","no","10:00:00","7:00:00","Family guy","Family Guy","0","22","24","-91","-15","30","-81","100",14,10
"12341","female","15","France","FRA","FRA","no","no","no","no","no","no","no","no","FRENCH","","NA","2","right","170","24","170","16","35","NA","75","75","430","motor","15","4000","4000","two","languages","languages","43","0.422","Aerobics or weight training","Aerobics or weight training","yes","yes","yes","no","yes","no","no","no","yes","yes","no","36","yes","yes","no","yes","no","no","no","10:00:00","7:15:00","(i have a lot of favourite tv shows)","NA","49","49","-30","35","100","-43","-22","100",5,10
"18262","male","13","newzealand","NZL","NZL","no","yes","no","no","no","no","no","no","","","","1","right","180","27","190","17","32","49","NA","NA","12","walk","35","74","NA","diagonal","technology","NA","42","0.344","Rugby","Rugby","no","no","no","yes","yes","no","yes","no","no","no","no","10","no","no","no","no","no","no","no","11:30:00","7:45:00","Simpsons","The Simpsons","-75","-68","-72","-88","-79","-46","-97","-21",3,9
"15686","female","13","newzealand","NZL","NZL","no","no","no","no","yes","no","no","no","","","","2","right","170","26","177","15","31","NA","NA","NA","600","bus","30","400","400","one","health","english","38","0.485","Netball","Netball","yes","yes","yes","yes","yes","yes","yes","no","yes","yes","no","12","no","no","yes","yes","yes","no","no","10:00:00","6:30:00","Home and away","Home and Away","100","79","100","71","100","-12","28","5",3,9
"19301","female","11","newzealand","NZL","NZL","yes","no","no","no","no","no","no","no","","","","1","right","145","24","142","21","NA","39","70","60","28","motor","15","4000","4000","two","arts","health","51","0.406","Netball","Netball","no","yes","yes","no","yes","no","no","no","yes","yes","no","1","no","yes","yes","yes","no","no","no","9:00:00","7:15:00","Sticky tv","Sticky TV","-87","-69","-10","19","68","-50","-15","98",4,7
"6430","male","16","england","GBR","GBR","yes","no","no","no","no","no","no","no","","","","2","right","183","28","178","16","36","NA","95","90","100","walk","10","8000","8000","two","social","science","36","0.297","Soccer","Soccer","no","yes","yes","yes","yes","no","no","no","no","yes","no","17","no","yes","yes","yes","yes","no","no","10:00:00","7:30:00","Grey's anatomy","Grey's Anatomy","89","76","55","23","33","58","44","-33",3,12
"2","female","11","newzealand","NZL","NZL","yes","no","no","no","no","no","no","no","","","","1","right","156","26","NA","18","36","40","95","90","33","bike","7","0","0","two","arts","health","38","0.39","Netball","Netball","yes","yes","yes","yes","no","no","no","no","yes","yes","no","13","no","yes","yes","yes","yes","no","no","8:45:00","6:00:00","Victorious","Victorious","0","37","100","100","38","100","-1","61",14,6
"8117","male","11","newzealand","NZL","NZL","yes","no","no","no","no","no","no","no","","","","1","right","152","24","152","14","33","41","75","85","60","walk","12","7600","7600","two","mathstats","english","31","NA","Walking or hiking","Walking or hiking","no","no","yes","no","yes","no","no","no","yes","no","no","2","no","no","no","no","yes","no","no","8:45:00","7:30:00","","None","NA","NA","-100","100","100","NA","100","100",3,7
"14031","male","14","england","GBR","GBR","yes","no","no","no","no","no","no","no","British","British","","1","right","158","26","159","17","31","NA","80","90","18","motor","30","6000","6000","two","arts","mathstats","31","0.421","Winter sports (skiing, snowboarding, ice skating)","Winter sports (skiing, snowboarding, ice skating)","no","yes","yes","no","yes","no","no","no","no","yes","no","3","no","yes","no","no","yes","no","no","10:00:00","7:30:00","Torchwood","NA","100","100","100","44","75","30","81","29",3,10
"16380","male","13","newzealand","NZL","NZL","yes","no","no","no","no","no","no","no","","","","1","right","160","26","167","16","30","46","81","85","14","motor","12","7500","7500","two","social","social","50","1.736","Soccer","Soccer","no","yes","yes","yes","yes","no","no","no","no","yes","no","13","yes","yes","no","yes","yes","no","no","10:00:00","7:15:00","Big bang theory","The Big Bang Theory","32","-10","4","-28","69","18","5","-38",3,9
"8083","female","12","Korea","KOR","KOR","no","no","no","no","no","no","no","no","Korean","Korean","K?rea","2","right","164","22","164","16","31","43","71","61","26","motor","7","2000","2000","two","arts","mathstats","35","0.484","Netball","Netball","no","yes","yes","yes","yes","no","no","no","no","no","no","11","yes","yes","no","yes","no","no","no","10:30:00","6:30:00","Glee","Glee","1","2","3","5","5","5","5","22",3,8
"15760","male","13","australia","AUS","AUS","no","no","no","yes","no","no","no","no","","","","2","right","159","24","150","NA","32","NA","NA","NA","590","walk","40","50","NA","two","english","english","58","NA","Kapahaka","Kapahaka","yes","no","no","no","no","no","no","no","no","no","yes","7","no","no","no","no","no","no","yes","8:00:00","7:00:00","Simpsons","The Simpsons","-8","98","99","-5","-4","-4","-1","-2",10,9
"17202","male","14","newzealand","NZL","NZL","no","no","yes","no","no","no","no","no","","","","2","right","166","24","166","17","32","NA","80","75","50","motor","15","800","800","two","english","arts","51","NA","Running or jogging","Running or jogging","no","no","no","no","no","no","no","no","no","no","yes","NA","no","no","no","no","yes","no","no","12:00:00","6:45:00","Bruce lee","NA","-20","2","-35","-10","20","-37","-10","-17",3,10
"10305","male","15","newzealand","NZL","NZL","yes","no","no","no","no","no","no","no","","","","1","right","171","27","172","16","35","44","100","100","50","bike","4","4900","4900","two","arts","science","37","0.392","Other","Other","no","yes","yes","yes","yes","no","no","no","yes","yes","no","12","yes","yes","yes","yes","yes","no","no","NA","NA","Family guy","Family Guy","-22","-3","-3","-4","-2","-2","-73","-46",18,10
"293","female","13","Malta","MLT","MLT","no","no","no","no","no","no","no","no","Maltese","","NA","2","right","156","22","160","15","34","40","78","79","405","motor","4","6000","6000","one","technology","arts","38","0.671","Netball","Netball","no","yes","yes","yes","yes","no","no","no","yes","yes","no","15","yes","yes","yes","yes","no","no","no","10:30:00","7:30:00","Vampire diaries","The Vampire Diaries","33","17","43","69","74","29","53","6",9,9
"15059","female","13","newzealand","NZL","NZL","no","no","no","no","no","no","no","no","south african","South African","","1","right","162","25","170","NA","33","43","93","100","450","bus","15","2300","2300","two","health","arts","32","0.355","Dancing","Dancing","no","yes","yes","no","no","no","no","no","no","yes","no","13","yes","yes","no","yes","yes","no","no","10:15:00","6:45:00","Modern family","Modern Family","-93","-68","-86","-44","99","-86","-19","-96",3,9
"13726","female","13","newzealand","NZL","NZL","yes","yes","no","no","no","no","no","no","","","","1","right","165","25","166","17","32","41","100","101","460","bus","15","500","500","two","health","arts","35","0.488","Basketball","Basketball","yes","yes","yes","yes","yes","no","no","no","yes","yes","no","14","yes","no","yes","yes","yes","no","no","10:30:00","6:45:00","","None","73","58","-21","3","90","-30","-64","1",6,9
"13573","male","14","newzealand","NZL","NZL","yes","no","no","no","no","no","no","no","","","","1","right","170","29","181","19","38","49","95","85","80","bus","30","4700","4700","two","technology","health","42","0.441","Basketball","Basketball","yes","yes","yes","yes","yes","no","no","no","yes","yes","no","5","yes","yes","yes","yes","yes","no","no","10:30:00","7:15:00","Rude tube","NA","0","1","1","63","63","0","-97","100",6,10
"11536","male","11","newzealand","NZL","NZL","yes","no","no","no","no","no","no","no","","","","1","right","160","23","172","15","34","41","NA","NA","150","motor","5","1700","1700","","health","health","50","1.234","Soccer","Soccer","yes","yes","yes","no","no","no","yes","no","no","yes","no","5","no","no","yes","no","yes","no","no","8:00:00","7:00:00","The simpsons","The Simpsons","53","100","16","16","-40","100","-24","-100",3,7
"21841","female","13","newzealand","NZL","NZL","yes","no","no","no","no","no","no","no","","","","1","right","163","25","159","15","30","43","90","80","400","walk","20","5200","5200","one","english","english","32","0.39","Other","Other","no","yes","yes","no","yes","no","no","no","yes","yes","no","8","yes","yes","no","yes","no","no","no","22:30:00","6:45:00","Glee","Glee","-65","-65","-64","-56","75","-45","-100","100",3,9
"14145","female","13","newzealand","NZL","NZL","yes","no","no","no","no","no","no","no","","","","1","right","167","23","166","16","32","43","70","70","330","bus","35","3000","3000","two","health","mathstats","70","0.39","Netball","Netball","yes","yes","yes","yes","yes","no","no","no","no","yes","no","5","no","yes","yes","yes","no","no","no","10:30:00","6:45:00","Criminal minds","Criminal Minds","-48","36","38","-3","48","-6","-2","68",14,9
"20864","male","9","newzealand","NZL","NZL","yes","no","no","no","no","no","no","no","","","","1","right","142","20","144","NA","29","NA","70","80","430","bus","20","1","NA","diagonal","technology","mathstats","40","NA","Water sports (swimming, diving, surfing, canoeing, kayaking)","Water sports (swimming, diving, surfing, canoeing, kayaking)","yes","no","yes","no","yes","no","no","no","no","yes","no","NA","no","no","yes","no","no","no","no","10:00:00","6:00:00","Bayblade","NA","100","100","41","100","100","100","45","-51",2,5
"1492","male","11","china","CHN","CHN","no","no","no","no","no","no","yes","no","","","","2","right","146","22","132","14","30","41","62","60","5","bus","34","3500","3500","two","health","english","NA","1.406","Soccer","Soccer","no","no","no","no","no","no","no","no","yes","no","no","9","yes","yes","yes","no","yes","no","no","9:30:00","7:15:00","Sports","SKY Sport","3","-100","NA","57","NA","16","NA","100",3,7
"13112","female","14","newzealand","NZL","NZL","no","no","no","no","no","no","no","no","Malaysian Chinese","","NA","3","right","154","23","156","NA","32","NA","90","90","12","walk","3","600","600","two","science","mathstats","50","0.748","Ball sports using sticks (cricket, baseball, hockey, lacrosse, jai lai)","Ball sports using sticks (cricket, baseball, hockey, lacrosse, jai lai)","no","no","yes","no","yes","no","no","no","yes","yes","no","14","yes","yes","yes","yes","yes","no","no","11:00:00","7:30:00","Glee","Glee","100","99","96","95","99","98","98","98",3,10
"6184","female","12","newzealand","NZL","NZL","no","no","no","no","no","no","no","no","Assyrian","","NA","2","right","161","22","156","15","33","37","95","85","620","motor","5","10","NA","one","technology","arts","53","0.511","Soccer","Soccer","no","yes","yes","yes","yes","yes","yes","yes","yes","yes","no","1","yes","yes","yes","yes","no","no","no","12:15:00","8:15:00","Big bang theory","The Big Bang Theory","33","33","44","8","-81","43","0","100",3,8
"5477","female","11","newzealand","NZL","NZL","yes","no","no","no","no","no","no","no","","","","1","right","157","23","156","15","31","42","NA","NA","21","bike","15","500","500","one","health","mathstats","55","0.454","Winter sports (skiing, snowboarding, ice skating)","Winter sports (skiing, snowboarding, ice skating)","no","no","yes","no","no","no","no","no","no","no","no","NA","no","no","yes","no","no","yes","no","9:45:00","6:00:00","What now &amp; ben 10","NA","45","-76","46","-42","72","33","100","-39",14,7
"24866","male","13","newzealand","NZL","NZL","yes","no","no","no","no","no","no","no","","","","1","right","169","27","172","NA","35","46","80","86","4","walk","10","1100","1100","two","health","english","52","2.538","Other","Other","no","yes","yes","no","yes","no","no","no","no","yes","no","6","yes","yes","yes","yes","yes","no","no","10:15:00","6:45:00","Nitro circus","Nitro Circus","-14","-4","31","-74","100","4","NA","2",3,9
"9629","female","11","newzealand","NZL","NZL","yes","no","no","no","no","no","no","no","","","","2","left","152","22","154","14","29","38","80","70","440","motor","40","600","600","two","arts","english","NA","NA","Horse riding","Horse riding","no","no","yes","no","no","no","no","no","yes","yes","no","NA","no","no","no","no","yes","no","no","9:00:00","6:15:00","Masterchef nz","Masterchef New Zealand","93","100","100","100","100","93","-85","-98",3,7
"7881","female","13","newzealand","NZL","NZL","yes","no","no","no","no","no","no","no","","","","1","right","150","22","151","14","27","NA","73","75","70","bus","20","5000","5000","two","technology","technology","35","0.39","Netball","Netball","yes","yes","yes","yes","yes","yes","no","no","yes","yes","no","4","yes","yes","yes","yes","yes","no","no","9:15:00","3:00:00","Glee","Glee","0","1","1","2","1","5","5","10",14,9
"11353","female","11","korea","KOR","KOR","no","no","no","no","no","no","no","no","korean","Korean","K?rea","2","right","154","21","155","14","30","38","85","90","420","walk","7","7000","7000","two","english","english","45","0.482","Walking or hiking","Walking or hiking","no","no","yes","no","yes","yes","no","no","yes","yes","no","29","yes","yes","no","yes","yes","yes","no","10:45:00","7:15:00","Glee","Glee","-14","65","-63","-62","97","-8","75","-56",16,7
"8229","male","10","holland","NLD","NLD","no","no","no","no","no","no","no","no","dutch","Dutch","","3","right","136","18","NA","12","29","NA","NA","NA","50","motor","30","200","NA","two","mathstats","english","52","2.581","Soccer","Soccer","no","yes","yes","yes","yes","no","no","no","no","yes","no","1","no","yes","yes","yes","yes","no","no","9:00:00","7:30:00","Family guy","Family Guy","-78","NA","84","-6","-100","10","-89","22",10,6
"7335","male","14","southafrica","ZAF","ZAF","no","no","no","no","no","no","no","no","south african","South African","","2","right","166","27","175","18","37","41","NA","NA","13","motor","10","2","NA","two","health","health","49","0.328","Rugby","Rugby","no","no","yes","no","yes","no","no","no","no","yes","no","9","yes","yes","yes","yes","no","no","no","10:00:00","7:00:00","Go girls","Go Girls","14","-42","-65","-77","-91","-96","NA","100",3,10
"20214","male","15","Botswana","BWA","BWA","no","no","no","no","no","no","no","yes","","","","NA","right","169","27","166","17","32","NA","70","70","60","motor","15","200","NA","two","arts","english","34","0.391","Ball sports using sticks (cricket, baseball, hockey, lacrosse, jai lai)","Ball sports using sticks (cricket, baseball, hockey, lacrosse, jai lai)","yes","no","yes","yes","yes","no","yes","no","yes","yes","no","48","yes","yes","yes","yes","yes","no","no","1:00:00","7:00:00","","None","100","100","100","100","100","100","100","NA",3,11
"7176","female","13","sri lanka","LKA","LKA","no","no","no","no","no","no","no","no","aishen","","NA","2","right","167","NA","NA","23","NA","NA","NA","NA","12","motor","5","90","NA","two","arts","arts","NA","0.607","Other","Other","no","yes","no","no","no","no","no","no","no","yes","no","12","no","no","yes","no","no","no","no","8:00:00","7:00:00","Simson","The Simpsons","-89","-85","-89","-94","-60","-78","-86","100",17,8
"9910","female","12","newzealand","NZL","NZL","yes","no","no","no","no","no","no","no","","","","1","right","158","22","147","13","27","42","60","70","710","motor","30","3000","3000","two","english","english","46","0.36","Horse riding","Horse riding","no","yes","yes","no","no","no","no","no","no","yes","no","12","no","no","no","no","no","yes","no","10:15:00","6:30:00","Family guy","Family Guy","100","100","100","100","3","100","-9","-28",3,8
"10431","male","14","newzealand","NZL","NZL","yes","no","no","no","no","no","no","no","","","","2","right","184","28","184","17","35","50","95","91","22","walk","8","3200","3200","one","arts","english","31","0.352","Ball sports using sticks (cricket, baseball, hockey, lacrosse, jai lai)","Ball sports using sticks (cricket, baseball, hockey, lacrosse, jai lai)","yes","yes","yes","yes","yes","no","no","no","no","yes","no","17","yes","yes","yes","yes","no","no","no","1:15:00","8:45:00","Coronation street","Coronation Street","-91","-94","-96","-96","-92","-97","-94","100",18,11
"8884","male","8","australia","AUS","AUS","yes","no","no","no","no","no","no","no","","","","1","right","136","21","141","NA","30","NA","NA","NA","4","motor","1","19","NA","two","mathstats","english","NA","1.062","Racket sports (tennis, squash, badminton)","Racket sports (tennis, squash, badminton)","no","yes","yes","no","no","no","no","no","no","no","no","NA","no","no","yes","no","no","yes","no","5:00:00","7:00:00","Afv","America's Funniest Home Videos","-100","100","-100","100","100","100","NA","NA",10,4
"7150","male","NA","newzealand","NZL","NZL","yes","no","no","no","no","no","no","no","","","","1","left","187","35","180","14","32","43","NA","NA","40","motor","7","2600","2600","two","social","science","50","0.382","Other","Other","no","yes","yes","yes","no","no","no","no","yes","yes","no","12","yes","yes","yes","yes","no","no","no","10:30:00","6:45:00","South park","South Park","NA","NA","NA","NA","84","NA","-100","100",14,13
"14322","female","10","newzealand","NZL","NZL","yes","yes","no","no","no","no","no","no","Greek","","NA","4","right","133","20","131","14","27","39","65","70","490","motor","5","30","NA","one","arts","arts","38","0.5","Horse riding","Horse riding","no","no","yes","no","no","no","no","no","yes","yes","no","NA","no","no","yes","no","no","no","no","7:15:00","6:30:00","Icarly","Icarly","1","100","1","100","100","3","22","NA",19,6
"22747","male","13","newzealand","NZL","NZL","yes","no","no","no","no","no","no","no","","","","1","right","157","22","NA","16","30","40","80","85","10","motor","20","600","600","two","health","english","41","0.368","Soccer","Soccer","no","yes","yes","no","no","no","no","no","no","yes","no","NA","no","no","no","no","no","yes","yes","8:00:00","7:00:00","Malcom in the middle","Malcolm in the Middle","-67","-51","-55","-90","70","-19","-95","14",5,9
"7162","male","15","newzealand","NZL","NZL","yes","no","no","no","no","no","no","no","","","","1","ambi","178","26","180","18","37","45","95","95","40","motor","3","0","0","","health","health","29","0.297","Rugby","Rugby","yes","yes","yes","no","yes","no","yes","no","yes","yes","no","48","yes","yes","yes","yes","no","no","no","12:45:00","8:00:00","Chuck","Chuck","NA","21","22","22","100","22","16","100",13,11
"1004","female","13","australia","AUS","AUS","yes","no","no","no","no","no","no","no","","","","1","right","NA","23","NA","16","30","50","80","80","380","bus","25","100","NA","diagonal","arts","arts","39","0.484","Martial arts (karate, judo, taekwondo)","Martial arts (karate, judo, taekwondo)","yes","no","yes","no","yes","no","no","no","no","yes","no","16","yes","yes","yes","yes","yes","no","no","10:00:00","6:30:00","Family guy","Family Guy","0","3","2","14","42","69","6","10",14,9
"13744","female","15","newzealand","NZL","NZL","yes","yes","no","no","no","no","no","no","","","","1","right","180","25","178","NA","NA","42","70","60","550","walk","7","2000","2000","two","arts","english","29","0.5","Water sports (swimming, diving, surfing, canoeing, kayaking)","Water sports (swimming, diving, surfing, canoeing, kayaking)","no","yes","yes","no","yes","no","no","no","no","yes","no","1","no","no","no","yes","yes","no","no","11:00:00","7:00:00","Movies","NA","0","-32","-1","NA","36","-37","NA","2",4,11
"6662","female","13","newzealand","NZL","NZL","yes","no","no","no","yes","no","no","no","","","","1","right","155","24","155","18","29","38","80","80","360","motor","40","500","500","two","arts","NA","45","0.601","Other","Other","yes","yes","yes","yes","yes","no","no","no","yes","yes","no","6","yes","yes","yes","yes","no","no","no","11:00:00","7:15:00","Kardashiens","Keeping Up with the Kardashians","-45","-40","-29","-29","2","-20","-24","88",4,9
"19271","male","16","samoa","WSM","WSM","no","no","yes","no","no","no","no","no","","","","2","right","180","24","NA","NA","35","NA","100","90","80","walk","15","90","NA","two","mathstats","english","52","0.397","Rugby","Rugby","no","yes","no","yes","no","no","no","no","no","no","no","6","no","no","yes","yes","no","no","no","10:00:00","7:00:00","Nothing","None","0","3","-33","-20","14","-26","2","-45",3,12
"21442","female","15","newzealand","NZL","NZL","yes","no","no","no","no","no","no","no","","","","1","right","159","23","159","15","30","40","70","75","35","bus","10","7","NA","two","arts","social","57","0.336","Dancing","Dancing","yes","yes","yes","yes","yes","no","no","no","no","yes","no","5","yes","yes","no","yes","no","no","no","10:45:00","NA","","None","100","37","20","39","-1","-49","-98","100",16,10
"7891","female","12","newzealand","NZL","NZL","yes","no","no","no","no","no","no","no","","","","1","right","159","25","158","16","30","40","90","90","53","bus","35","4200","4200","two","social","languages","39","0.281","Netball","Netball","no","yes","yes","no","no","no","no","no","yes","yes","no","18","no","yes","no","yes","yes","no","no","8:45:00","7:00:00","Masterchef nz","Masterchef New Zealand","-1","30","18","-28","39","18","10","-6",3,8
"11930","male","16","newzealand","NZL","NZL","no","yes","no","no","no","no","no","no","","","","2","right","178","26","183","18","35","42","80","80","4","bus","15","6200","6200","two","languages","languages","33","1.406","Rugby","Rugby","yes","yes","yes","yes","yes","no","no","no","yes","yes","no","1","no","no","yes","no","no","no","no","12:45:00","7:00:00","Sons of anarchy","Sons of Anarchy","-3","-3","-58","43","57","58","-41","81",9,11
"21117","female","15","newzealand","NZL","NZL","no","yes","no","no","no","no","no","no","","","","1","right","163","24","155","18","NA","NA","82","82","16","motor","10","2800","2800","two","english","english","60","NA","Dancing","Dancing","yes","no","no","no","yes","no","no","no","no","no","no","6","no","no","yes","yes","no","no","no","9:30:00","7:00:00","2","NA","100","100","100","70","13","11","10","-74",16,10
"13513","female","12","newzealand","NZL","NZL","yes","no","no","no","no","no","no","no","","","","NA","right","143","22","146","15","30","38","75","82","44","motor","2","4000","4000","one","science","arts","60","NA","Netball","Netball","no","no","yes","no","no","no","no","no","yes","yes","no","2","no","no","yes","yes","yes","no","no","10:00:00","5:45:00","","None","100","100","65","100","38","100","65","-49",14,8
"21046","female","9","newzealand","NZL","NZL","yes","no","no","no","no","no","no","no","","","","2","right","128","NA","130","NA","29","NA","NA","NA","6","walk","2","10","NA","two","arts","mathstats","37","0.437","Netball","Netball","yes","yes","yes","yes","no","yes","no","no","yes","yes","no","9","yes","yes","yes","yes","yes","yes","no","8:30:00","6:15:00","House of anubis","House of Anubis","0","-13","52","28","64","25","-3","-80",10,5
"3362","male","11","newzealand","NZL","NZL","yes","no","no","no","no","no","no","no","","","","1","right","156","28","163","16","34","43","85","83","14","walk","5","300","300","two","technology","social","39","NA","Soccer","Soccer","yes","no","yes","no","yes","no","no","no","no","yes","no","NA","yes","yes","yes","no","yes","no","no","10:00:00","6:45:00","American dad","American Dad!","100","100","100","100","100","100","-4","100",10,7
"21774","female","12","newzealand","NZL","NZL","yes","no","no","no","no","no","no","no","","","","1","right","154","25","152","17","34","40","89","90","210","motor","40","5000","5000","two","arts","english","31","0.5","Racket sports (tennis, squash, badminton)","Racket sports (tennis, squash, badminton)","no","yes","yes","yes","yes","no","no","no","yes","yes","no","1","yes","yes","yes","yes","no","yes","no","10:30:00","6:45:00","Shortland street","Shortland Street","0","25","35","-27","30","-16","15","100",2,8
"19943","male","12","newzealand","NZL","NZL","yes","no","no","no","no","no","no","no","","","","1","right","147","23","141","NA","26","NA","50","60","880","bus","14","3500","3500","one","science","arts","55","1.172","Soccer","Soccer","no","yes","yes","no","no","no","no","no","no","yes","no","7","yes","yes","yes","yes","yes","no","no","9:15:00","6:30:00","Big bang theory","The Big Bang Theory","NA","NA","NA","NA","NA","NA","NA","NA",3,8
"17925","male","13","newzealand","NZL","NZL","no","yes","no","no","yes","yes","no","no","","","","1","right","170","30","174","NA","NA","43","88","98","20","bus","35","4000","4000","two","health","english","71","NA","Rugby","Rugby","no","no","no","no","no","no","no","no","no","no","yes","1","no","no","no","yes","yes","no","no","7:30:00","7:00:00","Spongebob","SpongeBob SquarePants","-40","57","36","34","49","-56","45","-28",3,9
"10151","female","13","england","GBR","GBR","yes","no","no","no","no","no","no","no","","","","1","right","165","25","165","14","NA","41","103","96","48","bus","60","1500","1500","two","health","arts","33","NA","Other","Other","no","yes","yes","yes","yes","no","no","no","yes","yes","no","36","yes","yes","yes","yes","yes","no","no","9:00:00","6:30:00","Simpsons","The Simpsons","-9","91","81","0","90","-6","59","47",3,9
"12074","female","12","newzealand","NZL","NZL","yes","no","no","no","no","no","no","no","","","","1","right","155","24","156","14","28","40","80","91","450","motor","7","3200","3200","two","arts","english","39","0.421","Dancing","Dancing","no","yes","yes","no","yes","no","no","no","no","yes","no","8","yes","yes","no","yes","yes","yes","no","10:30:00","7:00:00","The vampire diaries","The Vampire Diaries","-79","-29","-15","-90","38","-76","78","65",3,8
"10042","female","15","Malaysia","MYS","MYS","no","no","no","no","no","no","yes","no","","","","3","left","155","23","155","14","30","41","75","70","21","walk","25","1550","1600","one","social","health","28","0.406","Racket sports (tennis, squash, badminton)","Racket sports (tennis, squash, badminton)","no","yes","yes","no","yes","yes","no","yes","yes","no","no","5","yes","yes","yes","yes","yes","no","no","10:45:00","7:45:00","Drop dead diva","Drop Dead Diva","-30","-35","-32","-6","-14","-38","-52","81",3,11
"10756","female","12","newzealand","NZL","NZL","no","no","no","no","yes","no","no","no","","","","2","right","150","23","NA","NA","NA","37","69","64","300","walk","20","4000","4000","two","technology","mathstats","47","0.582","Soccer","Soccer","yes","no","yes","no","yes","no","yes","no","no","no","no","12","no","yes","yes","yes","no","no","no","10:15:00","7:00:00","The simpsons","The Simpsons","-79","100","100","28","100","47","31","-61",3,8
"22941","male","13","newzealand","NZL","NZL","yes","no","no","no","no","no","yes","no","","","","4","ambi","176","28","186","18","37","46","83","91","5","motor","8","12000","12000","two","social","science","27","0.393","Racket sports (tennis, squash, badminton)","Racket sports (tennis, squash, badminton)","no","yes","yes","yes","yes","no","no","no","yes","yes","no","6","yes","yes","no","yes","yes","no","no","8:30:00","5:30:00","7 days","Seven Days","0","100","94","100","100","100","-26","-86",10,9
"13041","female","13","newzealand","NZL","NZL","yes","no","no","no","no","no","no","no","","","","NA","right","168","25","170","16","32","41","100","90","310","walk","2","6000","6000","two","arts","english","55","2.266","Dancing","Dancing","no","yes","yes","no","yes","no","no","no","no","yes","no","37","no","yes","no","yes","yes","no","yes","9:45:00","7:15:00","Big bang theory","The Big Bang Theory","100","100","21","100","95","100","-36","-100",16,9
"20134","female","14","Taiwan","TWN","TWN","no","no","no","no","no","no","no","no","Singaporean","","NA","2","right","151","23","163","15","30","36","90","90","320","walk","12","3500","3500","two","science","english","41","0.969","Ball sports using sticks (cricket, baseball, hockey, lacrosse, jai lai)","Ball sports using sticks (cricket, baseball, hockey, lacrosse, jai lai)","yes","no","yes","yes","yes","no","no","no","yes","yes","no","6","yes","yes","no","yes","yes","no","yes","10:45:00","7:15:00","Drew and shannon live","Drew & Shannon Live","1","-25","11","-5","-2","6","-34","20",3,10
"14574","female","13","newzealand","NZL","NZL","no","yes","no","no","no","no","no","no","","","","2","right","156","22","NA","20","33","NA","NA","NA","46","bus","25","35","NA","one","health","arts","43","3.844","Netball","Netball","yes","no","no","no","yes","no","no","no","no","yes","no","NA","yes","no","yes","yes","yes","no","no","10:00:00","7:00:00","Shortland sreet","Shortland Street","67","-24","100","100","100","-50","-35","100",3,9
"12185","male","10","IRAN","IRN","IRN","no","no","no","no","no","no","no","no","IRAK","","NA","2","right","149","23","145","16","30","39","NA","NA","3","walk","8","2000","2000","two","technology","social","49","0.469","Soccer","Soccer","no","no","yes","no","no","no","no","no","no","yes","no","NA","no","yes","yes","no","yes","no","no","10:45:00","7:30:00","South park","South Park","NA","-98","-99","-100","-94","-60","NA","-99",9,6
"5985","male","14","newzealand","NZL","NZL","yes","no","no","no","no","no","no","no","","","","1","right","175","27","179","17","31","47","90","95","60","motor","5","7000","7000","two","technology","social","79","0.359","Other","Other","yes","yes","yes","yes","yes","no","yes","no","no","yes","no","7","no","no","no","yes","no","yes","no","10:45:00","8:00:00","Nitro circus","Nitro Circus","1","-49","30","-74","100","100","66","-87",9,10
