Course,Gender,Element,Zodiac,Season,NumCountries,Ethnicity,WeightActual,WeightIdeal,WeightDiff,Vote,Religion,Driving,NumYears,Speed,Tickets,Looks,Intelligence,SocialMedia,DayBorn,Under20,TxtSent,StudentLoan,DrinkSpend,DrinkCount,Earning,Work,Confidence,Extravagance,Shoes
S101,Male,Air,Gemini,Winter,0,NZ.European,78,78,0,Green,No,AboveAverage,19,130,No,5.1,8.3,60,Sunday,No,2,Yes,Low,Low,Medium,No,60.6,55.8,3
S101,Male,Air,Aquarius,Summer,6,Other,67,65,2,National,Yes,Poor,18,0,No,6.6,6.7,60,Tuesday,Yes,5,No,None,None,DontKnow,No,54.1,48.4,16
S108,Male,Earth,Capricorn,Summer,7,Indian,52,49,3,Other,Yes,Poor,17,0,No,7.8,8.6,25,Monday,Yes,15,No,None,None,High,Yes,67.3,36.4,3
S108,Male,Fire,Sagittarius,Summer,2,Chinese,80,75,5,Labour,No,Average,12,0,No,8,8.2,30,Thursday,Yes,15,Yes,None,None,Low,No,49.9,43.1,6
S101,Female,Earth,Capricorn,Summer,4,Other,55,52,3,Labour,Yes,AboveAverage,16,110,No,5.3,5.1,240,Thursday,Yes,60,Yes,None,None,Medium,No,48,65.6,10
S108,Female,Earth,Taurus,Autumn,6,Korean,50,45,5,None,No,AboveAverage,10,110,No,4.9,6.2,15,Tuesday,Yes,0,Yes,None,None,High,Yes,53.4,37.2,7
S108,Male,Earth,Virgo,Spring,0,Chinese,65,75,-10,Other,No,Average,1,0,No,5.1,5.2,120,Wednesday,No,5,No,None,None,High,No,43,47.8,4
S108,Female,Water,Cancer,Winter,1,NZ.European,59,54,5,National,No,Average,18,140,Yes,6.7,6.7,150,Thursday,Yes,200,No,Low,Low,DontKnow,Yes,54.3,62.4,8
S101,Male,Air,Libra,Spring,3,NZ.European,70,75,-5,None,No,Average,18,100,No,5,7.9,120,Thursday,Yes,50,Yes,Low,Low,DontKnow,No,52.8,67.2,4
S108,Male,Fire,Aries,Autumn,0,Chinese,60,70,-10,Labour,No,Excellent,8,120,No,5.9,5,0,Wednesday,Yes,10,Yes,None,None,Low,Yes,34.3,16.7,3
S101,Female,Fire,Sagittarius,Spring,10,NZ.European,74,72,2,National,Yes,AboveAverage,18,120,No,6.1,6.9,210,Sunday,Yes,250,Yes,None,None,Medium,No,55.9,68.7,8
S108,Female,Water,Scorpio,Spring,7,NZ.European,113,70,43,National,Yes,Poor,12,100,Yes,3.4,8.7,15,Saturday,No,10,Yes,Low,Low,Low,No,36.9,56.5,30
S101,Female,Fire,Leo,Winter,2,Indian,60,55,5,Labour,Yes,AboveAverage,20,100,No,5.1,5.1,30,Monday,No,100,Yes,None,None,High,Yes,46,40.7,23
S108,Male,Earth,Taurus,Autumn,2,Other,73,75,-2,Green,Yes,Excellent,1,0,No,10,10,210,Monday,Yes,5,No,High,Low,High,No,84.1,64.5,6
S101,Female,Water,Scorpio,Spring,3,Indian,56,50,6,Labour,No,AboveAverage,7,100,No,3.7,3.2,195,Thursday,No,100,Yes,None,None,High,Yes,35.5,55.6,6
S101,Female,Fire,Leo,Winter,2,Chinese,50,50,0,National,No,Poor,2,0,No,4.7,7.1,150,Wednesday,No,20,No,None,None,Low,Yes,47.4,44.4,9
S108,Female,Earth,Capricorn,Summer,3,NZ.European,59,55,4,National,No,Average,18,140,No,6.1,6.9,300,Wednesday,Yes,85,Yes,High,High,DontKnow,Yes,53.7,68.8,13
S101,Female,Water,Piscies,Summer,2,Other,58,50,8,National,Yes,Average,7,0,No,5.1,5.1,330,Monday,Yes,300,Yes,None,None,Medium,No,42.3,62.3,20
S101,Female,Water,Scorpio,Spring,1,Maori/P.I.,66,60,6,Other,Yes,BelowAverage,11,100,No,5.8,1,345,Tuesday,No,100,Yes,None,None,High,No,37.4,66.1,7
S101,Male,Earth,Taurus,Autumn,0,NZ.European,95,85,10,Green,No,AboveAverage,18,110,No,6.8,7.4,594,Monday,Yes,70,Yes,High,High,Medium,No,56,79.4,3
S101,Male,Air,Aquarius,Summer,1,NZ.European,100,90,10,Green,No,Poor,19,10,No,2.8,6.2,420,Monday,Yes,0,Yes,Low,Low,DontKnow,No,36.5,65.5,2
S101,Male,Fire,Leo,Winter,9,Korean,63,64,-1,None,Yes,Average,4,0,No,9.4,9,60,Friday,Yes,5,Yes,None,None,DontKnow,No,73.3,49.3,4
S101,Female,Water,Scorpio,Spring,7,Other,54,54,0,None,Yes,Average,0,120,No,6.3,7,180,Sunday,Yes,15,No,Low,Low,High,Yes,63.8,58.1,20
S108,Male,Fire,Aries,Autumn,2,NZ.European,70,75,-5,National,Yes,AboveAverage,17,100,No,7.3,7.9,150,Thursday,Yes,5,Yes,None,Low,Low,Yes,56.4,51.9,7
S108,Male,Water,Scorpio,Spring,4,Indian,70,75,-5,Labour,Yes,AboveAverage,7,120,No,5.9,7.5,180,Saturday,Yes,300,Yes,None,None,Medium,Yes,54.6,55.9,10
S108,Female,Air,Libra,Spring,5,Chinese,70,50,20,National,No,Poor,2,50,No,4.8,10,120,Wednesday,No,100,No,None,None,High,No,56.9,61.2,6
S101,Female,Earth,Capricorn,Summer,6,Other,55,55,0,National,No,AboveAverage,10,140,Yes,7,8,630,Thursday,No,2,Yes,High,High,DontKnow,No,65.3,85.3,14
S108,Male,Air,Aquarius,Summer,10,Other,61,65,-4,None,Yes,AboveAverage,5,210,No,6.9,6.4,120,Thursday,No,30,No,High,Low,DontKnow,No,55.9,73.4,6
S108,Female,Air,Libra,Spring,8,NZ.European,67,60,7,National,No,AboveAverage,18,100,No,5.9,6.4,20,Sunday,Yes,60,No,None,Low,DontKnow,Yes,51.2,43.5,10
S101G,Male,Fire,Aries,Autumn,2,Other,77,75,2,National,Yes,AboveAverage,17,100,No,7.9,6.3,120,Sunday,Yes,200,Yes,None,None,Medium,No,59.6,61.2,5
S108,Female,Fire,Aries,Autumn,1,Chinese,65,50,15,Other,Yes,Average,2,0,No,4.8,4.9,240,Thursday,No,30,No,None,None,High,No,44.7,56.2,3
