Order,Latitude,Longitude,Depth,Felt,Magnitude,RMS,NorMidSth,Month,Day,Hour,Minute
83,-38.23657292,176.1232628,-138,N,4.225,0.182,North,4,11,18,37
84,-37.06910794,176.8866823,-240,N,4.655,0.147,North,4,12,1,51
85,-38.55483688,175.7948596,-152,N,4.623,0.208,North,4,12,3,43
86,-36.56004419,178.2827279,-144,N,4.023,0.184,North,4,12,11,41
87,-38.59928539,178.0271034,-28,Y,4.487,0.183,North,4,13,2,49
88,-38.51648662,175.8356101,-166,N,4.528,0.139,North,4,14,17,6
89,-36.47646648,177.2615384,-12,N,4.055,0.608,North,4,18,4,18
90,-45.07850309,166.1735746,-14,N,4.001,0.261,South,4,18,23,46
91,-37.59405096,177.2315963,-141,N,4.015,0.075,North,4,19,9,25
92,-45.12550773,167.4630839,-110,N,4.471,0.199,South,4,21,14,58
93,-38.32535753,174.4359041,-14,N,4.058,0.19,North,4,24,21,9
94,-36.76421614,177.1465631,-189,N,4.782,0.115,North,4,25,3,16
95,-45.47617762,166.9830121,-65,Y,5.354,0.25,South,4,25,4,26
96,-39.68732795,173.9571225,-203,N,4.151,0.223,North,4,27,1,40
97,-40.18803969,173.9814159,-135,Y,5.866,0.233,North,4,27,9,14
98,-45.05926438,167.5611756,-115,N,4.344,0.277,South,4,28,3,7
99,-40.29009213,174.39371,-95,N,4.021,0.257,North,4,28,11,11
100,-42.67133146,173.2142574,-33,Y,4.623,0.109,Mid,4,28,11,19
101,-42.35843228,177.9021554,-33,N,4.18,0.328,North,4,29,6,59
102,-38.54460682,175.8169399,-151,N,4.633,0.15,North,4,30,16,15
103,-40.2970121,176.4282509,-48,Y,4.126,0.144,North,5,1,14,32
104,-40.32944261,176.4396009,-52,N,4.279,0.276,North,5,1,14,32
105,-40.80476209,176.8437088,-33,N,4.116,0.214,North,5,2,1,16
106,-35.3884129,178.4085168,-12,N,5.179,0.271,North,5,4,1,2
107,-35.32885953,178.4613217,-33,N,4.668,0.245,North,5,4,1,29
108,-35.49158474,177.6669194,-179,N,4.067,0.055,North,5,4,10,5
109,-40.1662807,174.2652299,-89,Y,4.202,0.247,North,5,4,15,29
110,-38.61437742,175.7597592,-142,N,4.055,0.144,North,5,6,21,9
111,-40.40336098,177.2482396,-33,N,4.016,0.169,North,5,7,19,54
112,-40.05001903,175.0102687,-70,Y,4.174,0.303,North,5,8,4,4
113,-37.29613109,177.6444494,-122,N,4.26,0.167,North,5,11,3,8
114,-36.67738885,177.2971481,-12,N,4.004,0.279,North,5,12,2,18
115,-40.20778084,174.2072286,-116,Y,4.823,0.273,North,5,13,21,51
116,-36.72429987,177.302516,-25,N,4.725,0.127,North,5,14,8,56
117,-36.54202768,177.482898,-12,N,4.235,0.491,North,5,15,1,49
118,-36.84203341,176.9239072,-271,N,4.407,0.29,North,5,15,5,7
119,-40.0209094,174.788937,-115,Y,5.509,0.177,North,5,16,7,3
